"Event_ID_Int","Race_Number","Race_Title_Short","Race_Title_Long","Race_SortValue","Comp_ID_Int","Comp_Number","Comp_HeatNumber_Int","Comp_Text","Crew_Club_Long","Crew_Club_Short","Comp_Lane_Int","Result_Rank_Int","Result_Rank_Sort","Result_Time","Athlet1_FormattedName","Athlet2_FormattedName","Athlet3_FormattedName","Athlet4_FormattedName","Athlet5_FormattedName","Athlet6_FormattedName","Athlet7_FormattedName","Athlet8_FormattedName","Cox_FormattedName"
"20","8","MW 8+","Masters-Frauen-Achter mit St.","8","2846","8","0","MW 8+ - Abt. AK C LG I ","Rgm. Fläming-Wassersportclub 1920 e.V. / Hunsrück-Wassersportverein 1876 e.V. / Jagst-Wassersportverein e.V. / Kieler Bucht-Paddelclub 1926 e.V. / Leistungsruderclub ""Neckar-Alb"" e.V. / Lüneburger Heide-Ruderclub 1894 e.V. / Plöner Seen-Rudergesellschaft e.V.","Rgm. Fläming Wasser / Hunsrück Wasser / Jagst Wassersport / Kieler Bucht Club / Leistung Neckar / Lüneburger RC / Plöner RG","1","1","1","3:05.00","Eva Musterfrau 1 (FGWC, 1981)","Eva Musterfrau 2 (HUWS, 1981)","Eva Musterfrau 3 (JAWS, 1981)","Eva Musterfrau 4 (KBPC, 1981)","Eva Musterfrau 5 (LRCNA, 1981)","Eva Musterfrau 6 (LRCNA, 1981)","Eva Musterfrau 7 (LHRC, 1981)","Eva Musterfrau 8 (LHRC, 1981)","Eva Steuerfrau 1 (PSRG, 1981)"
"20","8","MW 8+","Masters-Frauen-Achter mit St.","8","2846","8","0","MW 8+ - Abt. AK C LG I ","Ruderclub Moorgewässer 1900 e.V.","Ruderclub Moor","2","2","2","3:08.00","Eva Musterfrau 9 (RCMG, 1981)","Eva Musterfrau 10 (RCMG, 1981)","Eva Musterfrau 11 (RCMG, 1981)","Eva Musterfrau 12 (RCMG, 1981)","Eva Musterfrau 13 (RCMG, 1981)","Eva Musterfrau 14 (RCMG, 1981)","Eva Musterfrau 15 (RCMG, 1981)","Eva Musterfrau 16 (RCMG, 1981)","Eva Steuerfrau 2 (RCMG, 1981)"
"20","7","MW 4+","Masters-Frauen-Vierer mit St.","7","2845","7","0","MW 4+ - Abt. AK C LG I ","Rgm. Fläming-Wassersportclub 1920 e.V. / Hunsrück-Wassersportverein 1876 e.V. / Jagst-Wassersportverein e.V. / Kieler Bucht-Paddelclub 1926 e.V. / Plöner Seen-Rudergesellschaft e.V.","Rgm. Fläming Wasser / Hunsrück Wasser / Jagst Wassersport / Kieler Bucht Club / Plöner RG","1","1","1","3:14.99","Eva Musterfrau 1 (FGWC, 1981)","Eva Musterfrau 2 (HUWS, 1981)","Eva Musterfrau 3 (JAWS, 1981)","Eva Musterfrau 4 (KBPC, 1981)","","","","","Eva Steuerfrau 1 (PSRG, 1981)"
"20","7","MW 4+","Masters-Frauen-Vierer mit St.","7","2845","7","0","MW 4+ - Abt. AK C LG I ","Rgm. Leistungsruderclub ""Neckar-Alb"" e.V. / Lüneburger Heide-Ruderclub 1894 e.V. / Ruderclub Moorgewässer 1900 e.V.","Rgm. Leistung Neckar / Lüneburger RC / Ruderclub Moor","2","2","2","3:15.99","Eva Musterfrau 5 (LRCNA, 1981)","Eva Musterfrau 6 (LRCNA, 1981)","Eva Musterfrau 7 (LHRC, 1981)","Eva Musterfrau 8 (LHRC, 1981)","","","","","Eva Steuerfrau 2 (RCMG, 1981)"
"20","6","MW 2x","Masters-Frauen-Doppelzweier","6","2844","6","0","MW 2x - Abt. AK C LG I ","Rgm. Fläming-Wassersportclub 1920 e.V. / Hunsrück-Wassersportverein 1876 e.V.","Rgm. Fläming Wasser / Hunsrück Wasser","1","1","1","3:29.98","Eva Musterfrau 1 (FGWC, 1981)","Eva Musterfrau 2 (HUWS, 1981)","","","","","","",""
"20","6","MW 2x","Masters-Frauen-Doppelzweier","6","2844","6","0","MW 2x - Abt. AK C LG I ","Rgm. Jagst-Wassersportverein e.V. / Kieler Bucht-Paddelclub 1926 e.V.","Rgm. Jagst Wassersport / Kieler Bucht Club","2","2","2","3:39.99","Eva Musterfrau 3 (JAWS, 1981)","Eva Musterfrau 4 (KBPC, 1981)","","","","","","",""
"20","6","MW 2x","Masters-Frauen-Doppelzweier","6","2844","6","0","MW 2x - Abt. AK C LG I ","Leistungsruderclub ""Neckar-Alb"" e.V.","Leistung Neckar","3","3","3","3:49.99","Eva Musterfrau 5 (LRCNA, 1981)","Eva Musterfrau 6 (LRCNA, 1981)","","","","","","",""
"20","6","MW 2x","Masters-Frauen-Doppelzweier","6","2844","6","0","MW 2x - Abt. AK C LG I ","Lüneburger Heide-Ruderclub 1894 e.V.","Lüneburger RC","4","4","4","4:04.98","Eva Musterfrau 7 (LHRC, 1981)","Eva Musterfrau 8 (LHRC, 1981)","","","","","","",""
"20","5","MW 1x","Masters-Frauen-Einer","5","2843","5","0","MW 1x - Abt. AK C LG I ","Fläming-Wassersportclub 1920 e.V.","Fläming Wasser","1","1","1","3:59.99","Eva Musterfrau 1 (FGWC, 1981)","","","","","","","",""
"20","5","MW 1x","Masters-Frauen-Einer","5","2843","5","0","MW 1x - Abt. AK C LG I ","Hunsrück-Wassersportverein 1876 e.V.","Hunsrück Wasser","2","2","2","4:09.99","Eva Musterfrau 2 (HUWS, 1981)","","","","","","","",""
"20","5","MW 1x","Masters-Frauen-Einer","5","2843","5","0","MW 1x - Abt. AK C LG I ","Jagst-Wassersportverein e.V.","Jagst Wassersport","3","3","3","4:14.99","Eva Musterfrau 3 (JAWS, 1981)","","","","","","","",""
"20","5","MW 1x","Masters-Frauen-Einer","5","2843","5","0","MW 1x - Abt. AK C LG I ","Kieler Bucht-Paddelclub 1926 e.V.","Kieler Bucht Club","4","4","4","4:29.99","Eva Musterfrau 4 (KBPC, 1981)","","","","","","","",""
"20","4","MM 8+","Masters-Männer-Achter mit St.","4","2842","4","0","MM 8+ - Abt. AK C LG I ","Rgm. CampusSportZentrum Rheinland / Paddelverein NORDSTERN e.V. / RuderGesellschaft Flußheim / Traditions-Ruderverein Havelland 1928 e.V. / WasserSportClub Spessart 1898 e.V. / Wassersportverein Alpenvorland 1981 e.V. / Akademische Rudergesellschaft Spree-Athen e.V.","Rgm. Campus Rheinland / Paddel Nord / RG Fluß / Tradition Havelland / Wasser Spessart / Wasser Alpen / RG Spree-Athen","1","1","1","2:49.99","Max Mustermann 1 (CSZR, 1980)","Max Mustermann 2 (PVN, 1980)","Max Mustermann 3 (RGF, 1980)","Max Mustermann 4 (TRVH, 1980)","Max Mustermann 5 (WSCS, 1980)","Max Mustermann 6 (WSCS, 1980)","Max Mustermann 7 (WSVAV, 1980)","Max Mustermann 8 (WSVAV, 1980)","Max Steuermann 1 (ARGSA, 1980)"
"20","4","MM 8+","Masters-Männer-Achter mit St.","4","2842","4","0","MM 8+ - Abt. AK C LG I ","Bootssportgemeinschaft Mosel-Eifel 1950 e.V.","Boot Mosel","2","2","2","2:52.00","Max Mustermann 9 (BSGME, 1980)","Max Mustermann 10 (BSGME, 1980)","Max Mustermann 11 (BSGME, 1980)","Max Mustermann 12 (BSGME, 1980)","Max Mustermann 13 (BSGME, 1980)","Max Mustermann 14 (BSGME, 1980)","Max Mustermann 15 (BSGME, 1980)","Max Mustermann 16 (BSGME, 1980)","Max Steuermann 2 (BSGME, 1980)"
"20","3","MM 4x","Masters-Männer-Doppelvierer","3","2841","3","0","MM 4x - Abt. AK C LG I ","Rgm. CampusSportZentrum Rheinland / Paddelverein NORDSTERN e.V. / RuderGesellschaft Flußheim / Traditions-Ruderverein Havelland 1928 e.V.","Rgm. Campus Rheinland / Paddel Nord / RG Fluß / Tradition Havelland","1","1","1","2:59.99","Max Mustermann 1 (CSZR, 1980)","Max Mustermann 2 (PVN, 1980)","Max Mustermann 3 (RGF, 1980)","Max Mustermann 4 (TRVH, 1980)","","","","",""
"20","3","MM 4x","Masters-Männer-Doppelvierer","3","2841","3","0","MM 4x - Abt. AK C LG I ","Rgm. WasserSportClub Spessart 1898 e.V. / Wassersportverein Alpenvorland 1981 e.V.","Rgm. Wasser Spessart / Wasser Alpen","2","2","2","3:04.99","Max Mustermann 5 (WSCS, 1980)","Max Mustermann 6 (WSCS, 1980)","Max Mustermann 7 (WSVAV, 1980)","Max Mustermann 8 (WSVAV, 1980)","","","","",""
"20","2","MM 2x","Masters-Männer-Doppelzweier","2","2840","2","0","MM 2x - Abt. AK C LG I ","Rgm. CampusSportZentrum Rheinland / Paddelverein NORDSTERN e.V.","Rgm. Campus Rheinland / Paddel Nord","1","1","1","3:19.99","Max Mustermann 1 (CSZR, 1980)","Max Mustermann 2 (PVN, 1980)","","","","","","",""
"20","2","MM 2x","Masters-Männer-Doppelzweier","2","2840","2","0","MM 2x - Abt. AK C LG I ","Rgm. RuderGesellschaft Flußheim / Traditions-Ruderverein Havelland 1928 e.V.","Rgm. RG Fluß / Tradition Havelland","2","2","2","3:29.99","Max Mustermann 3 (RGF, 1980)","Max Mustermann 4 (TRVH, 1980)","","","","","","",""
"20","2","MM 2x","Masters-Männer-Doppelzweier","2","2840","2","0","MM 2x - Abt. AK C LG I ","WasserSportClub Spessart 1898 e.V.","Wasser Spessart","3","3","3","3:39.99","Max Mustermann 5 (WSCS, 1980)","Max Mustermann 6 (WSCS, 1980)","","","","","","",""
"20","2","MM 2x","Masters-Männer-Doppelzweier","2","2840","2","0","MM 2x - Abt. AK C LG I ","Wassersportverein Alpenvorland 1981 e.V.","Wasser Alpen","4","4","4","3:54.99","Max Mustermann 7 (WSVAV, 1980)","Max Mustermann 8 (WSVAV, 1980)","","","","","","",""
"20","1","MM 1x","Masters-Männer-Einer","1","2839","1","0","MM 1x - Abt. AK C LG I ","CampusSportZentrum Rheinland","Campus Rheinland","1","1","1","3:29.99","Max Mustermann 1 (CSZR, 1980)","","","","","","","",""
"20","1","MM 1x","Masters-Männer-Einer","1","2839","1","0","MM 1x - Abt. AK C LG I ","Paddelverein NORDSTERN e.V.","Paddel Nord","2","2","2","3:40.00","Max Mustermann 2 (PVN, 1980)","","","","","","","",""
"20","1","MM 1x","Masters-Männer-Einer","1","2839","1","0","MM 1x - Abt. AK C LG I ","RuderGesellschaft Flußheim","RG Fluß","3","3","3","3:45.00","Max Mustermann 3 (RGF, 1980)","","","","","","","",""
"20","1","MM 1x","Masters-Männer-Einer","1","2839","1","0","MM 1x - Abt. AK C LG I ","Traditions-Ruderverein Havelland 1928 e.V.","Tradition Havelland","4","4","4","4:00.00","Max Mustermann 4 (TRVH, 1980)","","","","","","","",""
